sum_1,sum_2,norm,accel,scan
-0.3314230144023895,-0.6158040165901184,0.538195,-113.753491,25155000.0
-0.2550339996814728,-0.61421799659729,0.415217,136.23228,25157500.0
-0.2545720040798187,-0.6126459836959839,0.41553,-75.03123,25160000.0
-0.3156229853630066,-0.6156790256500244,0.512642,34.285073,25162500.0
-0.327798992395401,-0.6151120066642761,0.53291,-31.988405,25165000.0
-0.3301540017127991,-0.6184449791908264,0.533846,-49.537605,25155000.0
-0.2644439935684204,-0.6151319742202759,0.429898,26.195933,25157500.0
-0.25687000155448914,-0.6159300208091736,0.417045,-161.067037,25160000.0
-0.31546899676322937,-0.6172360181808472,0.5111,19.390765,25162500.0
-0.32994499802589417,-0.6211689710617065,0.531167,-168.309546,25165000.0
-0.3297719955444336,-0.6215630173683167,0.530553,-14.981405,25155000.0
-0.31045499444007874,-0.6212610006332397,0.499718,-166.664346,25157500.0
-0.25379300117492676,-0.6162199974060059,0.411856,-97.780518,25160000.0
-0.2927510142326355,-0.6185539960861206,0.473283,-107.101172,25162500.0
-0.3270390033721924,-0.6171069741249084,0.529956,-169.137936,25165000.0
-0.3337920010089874,-0.6193050146102905,0.538979,-52.42119,25155000.0
-0.3236129879951477,-0.6199420094490051,0.522006,-226.35538,25157500.0
-0.2546989917755127,-0.6155189871788025,0.413796,-49.679479,25160000.0
-0.2641719877719879,-0.6182219982147217,0.42731,-212.773044,25162500.0
-0.3325349986553192,-0.6203709840774536,0.536026,-90.434471,25165000.0
-0.32720598578453064,-0.6222299933433533,0.525861,-169.121204,25155000.0
-0.3161880075931549,-0.6216750144958496,0.508606,-169.096461,25157500.0
-0.2542929947376251,-0.616457998752594,0.412507,-96.329139,25160000.0
-0.2682180106639862,-0.6176959872245789,0.434223,-191.456651,25162500.0
-0.33360299468040466,-0.618914008140564,0.539013,-87.520061,25165000.0
-0.32536301016807556,-0.6210259795188904,0.523912,-194.543386,25155000.0
-0.29119500517845154,-0.617497980594635,0.471573,-67.396832,25157500.0
-0.2591269910335541,-0.6164690256118774,0.42034,-170.676866,25160000.0
-0.28911998867988586,-0.6181150078773499,0.467745,-82.58533,25162500.0
-0.3330940008163452,-0.6220859885215759,0.535446,-112.618861,25165000.0
-0.3313339948654175,-0.6205940246582031,0.533899,-90.675222,25155000.0
-0.2881779968738556,-0.6221709847450256,0.46318,-53.838183,25157500.0
-0.2564930021762848,-0.6183760166168213,0.414785,-118.831176,25160000.0
-0.3097130060195923,-0.6212829947471619,0.498506,-8.616706,25162500.0
-0.3318760097026825,-0.6222360134124756,0.533361,-121.716361,25165000.0
-0.3296450078487396,-0.6203269958496094,0.531406,12.330271,25155000.0
-0.29512301087379456,-0.6169120073318481,0.478387,-82.165769,25157500.0
-0.2575330138206482,-0.6144359707832336,0.419137,10.866073,25160000.0
-0.30495399236679077,-0.6157339811325073,0.495269,-21.199358,25162500.0
-0.33061400055885315,-0.6183469891548157,0.534674,2.65718,25165000.0
